# Annotation file generated by Gemma
# Generated 06/30/2022
# If you use this file for your research, please cite: 
# Lim et al. (2021) Curation of over 10 000 transcriptomic studies to enable data reuse. 
# Database, baab006 (doi:10.1093/database/baab006). 
# Gemma link for this platform: http://gemma.msl.ubc.ca/ arrays/showArrayDesign.html?id=672
# Generic_human_ensemblIds  Generic platform for Homo sapiens, indexed by Ensembl IDs
# Homo sapiens
ProbeName	GeneSymbols	GeneNames	GOTerms	GemmaIDs	NCBIids
ENSG00000232001	LOC107985932	uncharacterized LOC107985932		9667941	107985932
ENSG00000120992	LYPLA1	lysophospholipase 1	GO:0006631|GO:0002084|GO:0042997	214909	10434
ENSG00000201569	SNORD114-17	small nucleolar RNA, C/D box 114-17	GO:0006396	474229	767595
ENSG00000170310	STX8	syntaxin 8	GO:0006886|GO:1903076|GO:0071346|GO:0006906|GO:0008333|GO:0045022|GO:0048278	196572	9482
ENSG00000225420	LOC101928371	uncharacterized LOC101928371		8797803	101928371
ENSG00000189134	NKAPL	NFKB activating protein like	GO:0007283|GO:0030154|GO:0010468	411371	222698
ENSG00000058262	SEC61A1	SEC61 translocon subunit alpha 1	GO:0006616|GO:0006614|GO:0006613|GO:0007029|GO:0031204|GO:0006620|GO:0045048|GO:0045047|GO:0039019|GO:0070588	266241	29927
ENSG00000204581	ACOXL-AS1	ACOXL antisense RNA 1		438725	400997
ENSG00000228980	LINC01205	long intergenic non-protein coding RNA 1205		424945	401082
ENSG00000104695	PPP2CB	protein phosphatase 2 catalytic subunit beta	GO:0046580|GO:0034976|GO:0042542|GO:0010804|GO:0010629|GO:0010288|GO:0070262|GO:0043161|GO:0008637|GO:0000278|GO:1904528|GO:0046677|GO:0006470|GO:0035970|GO:0032088	130069	5516
ENSG00000139211	AMIGO2	adhesion molecule with Ig like domain 2	GO:0051965|GO:0043069|GO:0007157|GO:0007420|GO:0007156|GO:0043066	427985	347902
ENSG00000119280	C1orf198	chromosome 1 open reading frame 198		361822	84886
ENSG00000183114	FAM43B	family with sequence similarity 43 member B		402091	163933
ENSG00000106070	GRB10	growth factor receptor bound protein 10	GO:0070371|GO:1904738|GO:0048009|GO:0046325|GO:0030949|GO:0008286|GO:0010467|GO:0046627|GO:0042326|GO:0030178|GO:0120162	56984	2887
ENSG00000180902	D2HGDH	D-2-hydroxyglutarate dehydrogenase	GO:0006108|GO:0006103|GO:0010043|GO:0010042|GO:0019538|GO:0051592|GO:0032026|GO:0032025	461963	728294
ENSG00000236013	LINC02941	long intergenic non-protein coding RNA 2941		8574255	100507477
ENSG00000196459	TRAPPC2	trafficking protein particle complex subunit 2	GO:0001501|GO:0006901|GO:0006888|GO:0099022|GO:0048208	147855	6399
ENSG00000131848	ZSCAN5A	zinc finger and SCAN domain containing 5A	GO:0006357	333671	79149
ENSG00000159263	SIM2	SIM bHLH transcription factor 2	GO:0000122|GO:0006357|GO:0030324|GO:0007399|GO:0009880|GO:0030154	149710	6493
ENSG00000225619	MYT1L-AS1	MYT1L antisense RNA 1		469380	730811
ENSG00000177257	DEFB4B	defensin beta 4B		462452	100289462
ENSG00000175390	EIF3F	eukaryotic translation initiation factor 3 subunit F	GO:0075522|GO:0001732|GO:0006413|GO:0016579	182533	8665
ENSG00000212589	LOC124900297	small nucleolar RNA SNORA17		10578554	124900297
ENSG00000232656	IDI2-AS1	IDI2 antisense RNA 1		304941	55853
ENSG00000119013	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	GO:0042776|GO:0009060|GO:0032981|GO:0006120	115062	4709
ENSG00000226762	LINC02668	long intergenic non-protein coding RNA 2668		9248205	105376354
ENSG00000163001	CFAP36	cilia and flagella associated protein 36		373985	112942
ENSG00000111181	SLC6A12	solute carrier family 6 member 12	GO:0006865|GO:0003333|GO:0035725|GO:0051936|GO:0015718	150677	6539
ENSG00000185808	PIGP	phosphatidylinositol glycan anchor biosynthesis class P	GO:0006506	273908	51227
ENSG00000143324	XPR1	xenotropic and polytropic retrovirus receptor 1	GO:0030643|GO:0007186|GO:0046718|GO:0035435|GO:0009615|GO:0016036|GO:0006817	192120	9213
ENSG00000248540	LOC283731	uncharacterized LOC283731		417737	283731
ENSG00000050438	SLC4A8	solute carrier family 4 member 8	GO:0050801|GO:2000302|GO:0050804|GO:0035725|GO:1902476|GO:0051453|GO:0042391|GO:0015701|GO:0055085|GO:0150104	196738	9498
ENSG00000198929	NOS1AP	nitric oxide synthase 1 adaptor protein	GO:1902514|GO:1901841|GO:0010628|GO:1903762|GO:1902261|GO:0098901|GO:0050999|GO:0003062|GO:1901381|GO:0045428|GO:0045429|GO:0010750|GO:0060307|GO:2000170|GO:0098974|GO:0051000	201099	9722
ENSG00000214597					
ENSG00000155966	AFF2	ALF transcription elongation factor 2	GO:0008380|GO:0007611|GO:0006397|GO:0010468|GO:0007420|GO:0035063|GO:0010629|GO:0043484	49026	2334
ENSG00000179420	OR6W1P	olfactory receptor family 6 subfamily W member 1 pseudogene		366093	89883
ENSG00000173545	ZNF622	zinc finger protein 622	GO:0046330|GO:0043410|GO:0008631|GO:0043065|GO:0042273|GO:0033674	367404	90441
ENSG00000145284	SCD5	stearoyl-CoA desaturase 5	GO:0006636|GO:1903966	341188	79966
ENSG00000246774	COL25A1-DT	COL25A1 divergent transcript		450930	645078
ENSG00000125538	IL1B	interleukin 1 beta	GO:0000165|GO:0031622|GO:0097192|GO:0008285|GO:0045917|GO:0060355|GO:0071407|GO:0070555|GO:0001934|GO:0046330|GO:0050796|GO:0050830|GO:0032308|GO:0006955|GO:0001660|GO:0006954|GO:0007249|GO:0045766|GO:1903597|GO:0071639|GO:0019221|GO:0033198|GO:0071260|GO:1901224|GO:0010628|GO:0045893|GO:0050729|GO:0060252|GO:1902680|GO:0051092|GO:0046627|GO:0051091|GO:0032496|GO:0030593|GO:0070164|GO:0043123|GO:0043122|GO:0008284|GO:0043407|GO:0043406|GO:0035234|GO:1903140|GO:0045429|GO:0045944|GO:0050691|GO:0031394|GO:0051781|GO:0097398|GO:0048143|GO:0043491|GO:0032757|GO:0030213|GO:0030730|GO:0032755|GO:0030335|GO:0014805|GO:0035505|GO:0150078|GO:0045833|GO:0031663|GO:0060559|GO:0035066|GO:0050995|GO:0002711|GO:0050999|GO:0050996|GO:0032743|GO:0007566|GO:2000556|GO:0045840|GO:0007165|GO:2001240|GO:0010573|GO:0009743|GO:0010575|GO:0071310|GO:0006915|GO:0051044|GO:0070372|GO:0010829|GO:0050767|GO:0050768|GO:0050766|GO:0050805|GO:0042102|GO:0007254|GO:0046827|GO:0034116|GO:0071466|GO:0070498|GO:0071222|GO:0010718|GO:0032725|GO:1900745|GO:0007267|GO:0030949|GO:0032729|GO:0033092|GO:0070487	77243	3553
ENSG00000258366	RTEL1	regulator of telomere elongation helicase 1	GO:0010569|GO:1904535|GO:1904358|GO:1904355|GO:0045910|GO:0000723|GO:0032508|GO:0000732|GO:0032206|GO:1904506|GO:0043247|GO:0090657|GO:0006281|GO:1904430|GO:1902990|GO:0031297	281622	51750
ENSG00000263723	LOC124900521	small nucleolar RNA SNORD55/SNORD39		10579162	124900521
ENSG00000188095	MESP2	mesoderm posterior bHLH transcription factor 2	GO:0003007|GO:0007219|GO:0032525|GO:0006357|GO:0001707	392914	145873
ENSG00000236289	GACAT3	gastric cancer associated transcript 3		9215000	104797537
ENSG00000123407	HOXC12	homeobox C12	GO:0006357	72203	3228
ENSG00000183439	TRIM61	tripartite motif containing 61	GO:0045087|GO:0016567|GO:0010468	436457	391712
ENSG00000168906	MAT2A	methionine adenosyltransferase 2A	GO:1990830|GO:0034214|GO:0051291|GO:0006556|GO:0006730	88991	4144
ENSG00000066455	GOLGA5	golgin A5	GO:0007030|GO:0000301|GO:0048193	205078	9950
ENSG00000230943	LINC02541	long intergenic non-protein coding RNA 2541		8799746	101927686
ENSG00000136378	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	GO:0006029|GO:0051603|GO:0002062|GO:0043931|GO:0030198|GO:0071347|GO:0030199|GO:0071356|GO:0032331|GO:0071773	228763	11173
ENSG00000198743	SLC5A3	solute carrier family 5 member 3	GO:1903428|GO:1904659|GO:1904679|GO:0043576|GO:0006020|GO:0015756|GO:0015798|GO:0015791|GO:0015750|GO:0032409|GO:0006814|GO:0043085|GO:0007422|GO:1905477|GO:0150104	150464	6526
ENSG00000156261	CCT8	chaperonin containing TCP1 subunit 8	GO:0007339|GO:0050821|GO:1904874|GO:1904851|GO:0032212|GO:1901998|GO:0006457|GO:0046931|GO:0061077|GO:1904871	220168	10694
ENSG00000115649	CNPPD1	cyclin Pas1/PHO80 domain containing 1	GO:0000079	257531	27013
ENSG00000224347	SCEL-AS1	SCEL antisense RNA 1		9111117	104355296
ENSG00000166831	RBPMS2	RNA binding protein, mRNA processing factor 2	GO:0048661|GO:0030514|GO:0051151|GO:0048557	428056	348093
ENSG00000214553	LRRC37A11P	leucine rich repeat containing 37 member A11, pseudogene		426247	342666
ENSG00000130368	MAS1	MAS1 proto-oncogene, G protein-coupled receptor	GO:0050727|GO:0008584|GO:0045740|GO:0007186|GO:0008284|GO:0007283|GO:0007250|GO:0009410|GO:0014823|GO:0034698|GO:0070528|GO:0060732|GO:0021766|GO:0038166|GO:0001933	88959	4142
ENSG00000148704	VAX1	ventral anterior homeobox 1	GO:0000122|GO:0001764|GO:0007406|GO:0007417|GO:0007405|GO:0006357|GO:0007411|GO:0007420|GO:0035914|GO:0043010|GO:0060021|GO:0060563|GO:0030182|GO:0048708	225814	11023
ENSG00000238372	LOC124902079	small nucleolar RNA U13		10583244	124902079
ENSG00000134146	DPH6	diphthamine biosynthesis 6	GO:0017183	366428	89978
ENSG00000163737	PF4	platelet factor 4	GO:0070098|GO:0051873|GO:0045653|GO:0010744|GO:0045651|GO:0010628|GO:0016525|GO:0042127|GO:0061844|GO:0030595|GO:0030593|GO:0071222|GO:0006954|GO:0045347|GO:0007189|GO:2001240|GO:0045944|GO:0042832|GO:0030168|GO:0032760|GO:0019221	124175	5196
ENSG00000214782	MS4A18	membrane spanning 4-domains A18	GO:0007166	462830	728588
ENSG00000188996	HUS1B	HUS1 checkpoint clamp component B	GO:0044778|GO:0033314|GO:0006289|GO:0000724|GO:0031573|GO:0000723	388396	135458
ENSG00000187456					
ENSG00000265930					
ENSG00000099795	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7	GO:0042776|GO:0009060|GO:0032981|GO:0006120	115136	4713
ENSG00000030110	BAK1	BCL2 antagonist/killer 1	GO:0045471|GO:0001974|GO:0044346|GO:0035108|GO:0097192|GO:0002262|GO:0010248|GO:0010524|GO:0097190|GO:0008285|GO:0008053|GO:1902262|GO:0009410|GO:0010046|GO:0031100|GO:0090200|GO:0032471|GO:0090201|GO:0097202|GO:0050673|GO:0031018|GO:0001782|GO:0032469|GO:0007568|GO:0001783|GO:0051726|GO:0002352|GO:0043065|GO:0048597|GO:0060068|GO:0009620|GO:0034644|GO:0010332|GO:0031334|GO:0051881|GO:0006915|GO:0014070|GO:0071260|GO:1901029|GO:0042542|GO:0010629|GO:1901030|GO:0046902|GO:0018105|GO:0010225|GO:0070059|GO:0001836|GO:0008635|GO:1900103|GO:0045862|GO:0007420|GO:0008630|GO:1903896|GO:0034620|GO:0060402|GO:0033137|GO:0070242	12810	578
ENSG00000265867	MIR4516	microRNA 4516		8624835	100616258
ENSG00000172273	HINFP	histone H4 transcription factor	GO:0000122|GO:0000082|GO:0010468|GO:0010628|GO:0045893|GO:0010629|GO:0000083|GO:0045892|GO:0000077|GO:0045184|GO:0006357|GO:0048856|GO:0006355|GO:0045445|GO:0006351|GO:0006281|GO:0045944|GO:0001701	251065	25988
ENSG00000253740	LOC105375671	uncharacterized LOC105375671		9245127	105375671
ENSG00000126337	KRT36	keratin 36	GO:0030855|GO:0045109|GO:0045616	183016	8689
ENSG00000198468	FLVCR1-DT	FLVCR1 divergent transcript		448174	642946
ENSG00000172061	LRRC15	leucine rich repeat containing 15	GO:1903077|GO:0046813|GO:0030335	386863	131578
ENSG00000280351	LOC100129503	uncharacterized LOC100129503		3879425	100129503
ENSG00000289165	LOC124906319	uncharacterized LOC124906319		10594077	124906319
ENSG00000116212	LRRC42	leucine rich repeat containing 42		376987	115353
ENSG00000153666	GOLGA8IP	golgin A8 family member I, pseudogene	GO:0051225|GO:0007030	417805	283796
ENSG00000137040	RANBP6	RAN binding protein 6	GO:0006606	257017	26953
ENSG00000131503					
ENSG00000154162	CDH12	cadherin 12	GO:0098742|GO:0007156|GO:0007275|GO:0007043|GO:0016339|GO:0034332|GO:0000902	22493	1010
ENSG00000153531	ADPRHL1	ADP-ribosylhydrolase like 1	GO:0051725|GO:0003242|GO:0055003	374613	113622
ENSG00000137494	ANKRD42	ankyrin repeat domain 42	GO:0051092	423959	338699
ENSG00000087365	SF3B2	splicing factor 3b subunit 2	GO:0000398|GO:0006397|GO:1903241|GO:0008380	225318	10992
ENSG00000154997	SEPTIN14	septin 14	GO:0001764|GO:0008104|GO:0007286|GO:0061640|GO:1905719	427203	346288
ENSG00000205560	CPT1B	carnitine palmitoyltransferase 1B	GO:0006635|GO:0006853|GO:0009437|GO:0006631|GO:0009637|GO:0015909	29013	1375
ENSG00000084734	GCKR	glucokinase regulator	GO:0006606|GO:0005975|GO:0046415|GO:1901135|GO:0042593|GO:0009750|GO:0070328|GO:0033132	52625	2646
ENSG00000222489	SNORA79B	small nucleolar RNA, H/ACA box 79B	GO:0006396	9672860	109616976
ENSG00000113905	HRG	histidine rich glycoprotein	GO:0033629|GO:0051894|GO:0032956|GO:0051838|GO:0010468|GO:2000504|GO:0043254|GO:0008285|GO:0051918|GO:0016525|GO:0007162|GO:0030193|GO:0010543|GO:0043537|GO:0061844|GO:0006935|GO:0050730|GO:0030308|GO:1900747|GO:0050832|GO:0042730|GO:0043065|GO:0010593|GO:0010951|GO:0015886|GO:2001027|GO:0002839|GO:0030168|GO:0001525	72756	3273
ENSG00000201558	RNVU1-6	RNA, variant U1 small nuclear 6	GO:0000395	8796226	101954276
ENSG00000163935	SFMBT1	Scm like with four mbt domains 1	GO:0007283|GO:0006325|GO:0030154|GO:0048635|GO:0045892	277588	51460
ENSG00000187796	CARD9	caspase recruitment domain family member 9	GO:0002446|GO:0032755|GO:0042981|GO:1900017|GO:0007254|GO:0061760|GO:0043330|GO:0009410|GO:0051092|GO:0001819|GO:0032874|GO:0032495|GO:0070374|GO:0016064|GO:0032494|GO:0046330|GO:0050830|GO:0043280|GO:0048874|GO:0032725|GO:0007249|GO:0032722|GO:0051607|GO:0043123|GO:2000318|GO:0045089|GO:0032740|GO:0032663|GO:0051260|GO:0032760|GO:0060907	325138	64170
ENSG00000275793	RIMBP3	RIMS binding protein 3	GO:0009566|GO:0007286|GO:0007274	364372	85376
ENSG00000105383	CD33	CD33 molecule	GO:0032717|GO:0002765|GO:1903615|GO:0051926|GO:0007267|GO:0050714|GO:0007155|GO:0007165|GO:0008285|GO:0098609|GO:0150102|GO:0032720|GO:0032691	20645	945
ENSG00000254056	IGHV3-71	immunoglobulin heavy variable 3-71 (pseudogene)		261970	28411
ENSG00000241945	PWP2	PWP2 small subunit processome component	GO:0000462|GO:0000028	136829	5822
ENSG00000052802	MSMO1	methylsterol monooxygenase 1	GO:0006631|GO:0008202|GO:0006695|GO:0016126	146154	6307
ENSG00000144935	TRPC1	transient receptor potential cation channel subfamily C member 1	GO:1903779|GO:0042438|GO:0051592|GO:0051281|GO:0070588|GO:0051480|GO:0006816|GO:0006828	164175	7220
ENSG00000230267	HERC2P4	HERC2 pseudogene 4		8096255	100289574
ENSG00000266270	MIR5096	microRNA 5096		8625167	100616427
ENSG00000219133	RPL21P19	ribosomal protein L21 pseudogene 19		446772	641293
ENSG00000085871	MGST2	microsomal glutathione S-transferase 2	GO:0019370|GO:0006750|GO:0046466|GO:0050729|GO:0098869|GO:0050790|GO:0006629	91266	4258
ENSG00000266245	MIR4644	microRNA 4644		8625173	100616430
ENSG00000258588	TRIM6-TRIM34	TRIM6-TRIM34 readthrough		445239	445372
ENSG00000198984	MIR345	microRNA 345	GO:0035278|GO:0035195	445156	442910
ENSG00000182415	CDY2A	chromodomain Y-linked 2A	GO:0007283|GO:0016573|GO:0045892	195439	9426
ENSG00000265699	MIR548AE2	microRNA 548ae-2		8624995	100616339
ENSG00000182173	TSEN54	tRNA splicing endonuclease subunit 54	GO:0000379|GO:0006388|GO:0006397	418174	283989
ENSG00000199666	SNORD3G	small nucleolar RNA, C/D box 3G	GO:0006396	9672849	109616984
ENSG00000108439	PNPO	pyridoxamine 5'-phosphate oxidase	GO:0042823|GO:0008615	294507	55163
ENSG00000281560	LSINCT5	long stress-induced non-coding transcript 5		8781258	101234261
ENSG00000223692	DIP2A-IT1	DIP2A intronic transcript 1		8722030	100862692
ENSG00000148795	CYP17A1	cytochrome P450 family 17 subfamily A member 1	GO:0006704|GO:0006702|GO:0007548|GO:0006694|GO:0008202|GO:0042446|GO:0042448	33449	1586
ENSG00000072041	SLC6A15	solute carrier family 6 member 15	GO:0006836|GO:0003333|GO:0006865|GO:0035725|GO:0015804|GO:0015824|GO:0015820	293666	55117
ENSG00000086848	ALG9	ALG9 alpha-1,2-mannosyltransferase	GO:0006487|GO:0006488|GO:0097502	338827	79796
ENSG00000251602	MTA1-DT	MTA1 divergent transcript		8574092	100507437
ENSG00000254858	MPV17L2	MPV17 mitochondrial inner membrane protein like 2	GO:0070131|GO:0061668	360712	84769
ENSG00000234678	ELF3-AS1	ELF3 antisense RNA 1		9002392	102723465
ENSG00000214336	FOXI3	forkhead box I3	GO:0009653|GO:0006357|GO:0030154	426733	344167
ENSG00000185040	SPDYE16	speedy/RINGO cell cycle regulator family member E16	GO:0045737	9002781	102723555
ENSG00000083750	RRAGB	Ras related GTP binding B	GO:0034198|GO:0071230|GO:0009267|GO:1904263|GO:0032008|GO:1990253|GO:0032006|GO:0008104|GO:0010506	212630	10325
ENSG00000134962	KLB	klotho beta	GO:0008284|GO:0090080|GO:0005975|GO:0008543	398113	152831
ENSG00000173875	ZNF791	zinc finger protein 791	GO:0006357	401601	163049
ENSG00000237750	KCNH7-AS1	KCNH7 antisense RNA 1		8793489	101929570
ENSG00000103363	ELOB	elongin B	GO:0032436|GO:0006368|GO:0006367|GO:0065003|GO:0016567	158472	6923
ENSG00000180182	MED14	mediator complex subunit 14	GO:0032968|GO:0006357|GO:0045893|GO:0060261|GO:0045944|GO:0035019|GO:0051123	193157	9282
ENSG00000261397	LINC01177	long intergenic non-protein coding RNA 1177		9111069	104355218
ENSG00000162413	KLHL21	kelch like family member 21	GO:0051301|GO:0035853|GO:0016567|GO:0007049|GO:0032465	204187	9903
ENSG00000123562	MORF4L2	mortality factor 4 like 2	GO:0006325|GO:0042981|GO:0051726|GO:2000779|GO:0045893|GO:1905168|GO:0006281|GO:0043968|GO:0040008|GO:0043967|GO:0045944|GO:0016573|GO:0016575|GO:0051155	199642	9643
ENSG00000273613	MIR6511A4	microRNA 6511a-4		9010123	102465684
ENSG00000179133	C10orf67	chromosome 10 open reading frame 67		414369	256815
ENSG00000243955	GSTA1	glutathione S-transferase alpha 1	GO:0006749|GO:0030855|GO:0043651|GO:1901687|GO:0006693|GO:0098869|GO:0006805	57992	2938
ENSG00000091409	ITGA6	integrin subunit alpha 6	GO:0033627|GO:0050900|GO:0031589|GO:0030335|GO:2001237|GO:0010668|GO:0007160|GO:0042327|GO:0098609|GO:0007229|GO:0035878|GO:0010976|GO:0043065|GO:0007044|GO:0043589|GO:0043547|GO:0045944	79330	3655
ENSG00000138032	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B	GO:0050687|GO:0032688|GO:0043124|GO:0006499|GO:1901223|GO:0006470|GO:0035970|GO:0090263	129635	5495
ENSG00000111271	ACAD10	acyl-CoA dehydrogenase family member 10	GO:0033539|GO:0006635	345780	80724
ENSG00000172824	CES4A	carboxylesterase 4A		417883	283848
ENSG00000213865	C8orf44	chromosome 8 open reading frame 44		308095	56260
ENSG00000225738	NRG3-AS1	NRG3 antisense RNA 1		8793592	101929590
ENSG00000287659	LOC124900694	uncharacterized LOC124900694		10579736	124900694
ENSG00000165476	REEP3	receptor accessory protein 3	GO:0007084|GO:0051301|GO:0006998|GO:0071786	409711	221035
ENSG00000189064	GAGE2A	G antigen 2A		465366	729447
ENSG00000238597	SNORD4B	small nucleolar RNA, C/D box 4B	GO:0006396	256773	26772
ENSG00000251219	LINC01217	long intergenic non-protein coding RNA 1217		10400591	100874276
ENSG00000237928	NFIA-AS2	NFIA antisense RNA 2		8766416	100996570
ENSG00000251260	WDFY3-AS1	WDFY3 antisense RNA 1		10400531	100874023
ENSG00000225683	PACRG-AS3	PACRG antisense RNA 3		465985	729658
ENSG00000134871	COL4A2	collagen type IV alpha 2 chain	GO:0071560|GO:0007568|GO:0006351|GO:0016525|GO:0014823|GO:0035987|GO:0038063|GO:0030198|GO:0001525	27361	1284
ENSG00000115145	STAM2	signal transducing adaptor molecule 2	GO:0007165|GO:0036258|GO:0016236|GO:0043328|GO:0090148	211239	10254
ENSG00000179562	GCC1	GRIP and coiled-coil domain containing 1		334923	79571
ENSG00000264757	MIR3198-1	microRNA 3198-1		8506708	100423025
ENSG00000263458	MIR4455	microRNA 4455		8624542	100616111
ENSG00000164647	STEAP1	STEAP family member 1	GO:0055072|GO:0006811	256979	26872
ENSG00000039319	ZFYVE16	zinc finger FYVE-type containing 16	GO:0016050|GO:0006622|GO:0007165|GO:0030100|GO:0016197	201844	9765
ENSG00000285437	POLR2J3	RNA polymerase II subunit J3	GO:0006366	446042	548644
ENSG00000126759	CFP	complement factor properdin	GO:0006957|GO:0006955|GO:0006956|GO:0050778|GO:1903028|GO:0042742	124211	5199
ENSG00000172519	OR10H5	olfactory receptor family 10 subfamily H member 5	GO:0098664|GO:0050911|GO:0007268|GO:0007187	419599	284433
ENSG00000273611	ZNHIT3	zinc finger HIT-type containing 3	GO:0048254|GO:0000463|GO:0006355|GO:0000492	193737	9326
ENSG00000127022	CANX	calnexin	GO:0019082|GO:0030433|GO:0048488|GO:0034975|GO:0072583|GO:0007568|GO:0006457|GO:0009306	17890	821
ENSG00000147121	KRBOX4	KRAB box domain containing 4	GO:0006355	300480	55634
ENSG00000228661	STIM1-AS1	STIM1 antisense RNA 1		9248953	105376527
ENSG00000215203	GRXCR1	glutaredoxin and cysteine rich domain containing 1	GO:0060122|GO:0048563|GO:0042491|GO:0007605|GO:0060118|GO:0060119	433763	389207
